batch,epochs,evaluation_0,evaluation_1,hidden,optimizer
32.0,250.0,0.06777049615589206,0.1993076662990428,30.0,rmsprop
32.0,500.0,0.07154913839322362,0.1915180714788484,30.0,rmsprop
32.0,750.0,0.0649293461929025,0.1908920142103533,30.0,rmsprop
64.0,250.0,0.07410999440559148,0.1904732435941696,30.0,rmsprop
64.0,500.0,0.09537902561923896,0.2244705328274557,30.0,rmsprop
64.0,750.0,0.07934801672300186,0.2044408854212764,30.0,rmsprop
128.0,250.0,0.06787276390896871,0.1898507021925323,30.0,rmsprop
128.0,500.0,0.07096586504988531,0.19789659957006364,30.0,rmsprop
128.0,750.0,0.06951879245148007,0.19844001509834192,30.0,rmsprop
32.0,250.0,0.07014051099476187,0.1918799957975845,50.0,rmsprop
32.0,500.0,0.0715433896467661,0.20113933244204274,50.0,rmsprop
32.0,750.0,0.07417509363135476,0.1964067942165269,50.0,rmsprop
64.0,250.0,0.07947889994999946,0.199497137873984,50.0,rmsprop
64.0,500.0,0.08405063237611722,0.20896093598133314,50.0,rmsprop
64.0,750.0,0.09000507531754505,0.21774491894484585,50.0,rmsprop
128.0,250.0,0.07255946495641097,0.19479387692032396,50.0,rmsprop
128.0,500.0,0.12782167909044506,0.2554662648545339,50.0,rmsprop
128.0,750.0,0.07679403367850814,0.2002955967615961,50.0,rmsprop
32.0,250.0,0.07180844744348845,0.20349315148951147,80.0,rmsprop
32.0,500.0,0.06479398403328072,0.1973134678036283,80.0,rmsprop
32.0,750.0,0.06867078398549913,0.1998483704689865,80.0,rmsprop
64.0,250.0,0.09082290531565196,0.2283618250001297,80.0,rmsprop
64.0,500.0,0.08423724568523216,0.2117288498274814,80.0,rmsprop
64.0,750.0,0.08370976668356833,0.2154235502186884,80.0,rmsprop
128.0,250.0,0.0826954179904262,0.20132074709607564,80.0,rmsprop
128.0,500.0,0.07189694310896148,0.20231024356818533,80.0,rmsprop
128.0,750.0,0.08020954812427374,0.20373989424905758,80.0,rmsprop
