,0,1,2
0,-7.867223,-37.466503,30.75085
1,0.16863957,5.479621,-17.244043
2,-49.111286,-7.4830384,4.3100133
3,-54.2535,-27.179855,49.060173
4,-46.1264,48.374386,-19.697031
5,-33.225792,-36.470074,27.163826
6,-47.584137,-16.898905,12.986264
7,-34.614307,66.139114,-11.866626
8,-43.91512,-51.459763,15.61733
9,-52.24581,-29.41992,38.77564
10,-56.261993,-17.080996,26.320345
11,-31.8575,-30.997751,11.193032
12,-50.05547,-12.585539,22.5562
13,-58.177525,-0.79242885,38.829193
14,-44.031326,47.954033,-38.340374
15,-45.364582,43.073784,-41.6237
16,-49.02391,0.09399996,-1.9410917
17,-48.159508,5.241151,-5.326526
18,-1.9648867,-46.976864,22.578663
19,-44.352898,-24.871546,48.247902
20,-30.660938,-45.94976,31.115925
21,-22.365505,-7.3713217,44.987064
22,-72.65271,-13.019744,59.698822
23,-66.71137,-14.159484,56.203243
24,5.599245,-52.327164,20.20035
25,-27.49818,-41.827503,23.239191
26,-32.51524,-23.971573,20.613585
27,17.145058,-63.37654,4.965991
28,58.619087,-8.477393,-3.6100397
29,-52.842888,-24.124365,42.869827
30,-53.062767,-20.555471,52.324036
31,12.7541,13.6027355,-65.13865
32,24.867857,-68.15203,-28.056942
33,-22.604149,-50.962906,12.079217
34,-56.438156,-26.918873,56.565643
35,2.5687404,-36.042694,23.30941
36,-27.812017,-50.89314,19.290821
37,-45.08055,31.95331,-55.124832
38,-61.989998,-15.361497,52.820614
39,31.304342,-62.117825,-17.132555
40,-74.99552,45.021374,17.26832
41,-40.93995,-15.499639,43.519814
42,13.205523,-84.09787,-18.971395
43,-74.5956,-15.389943,23.713743
44,19.52255,-3.6247134,-38.74592
45,-30.759508,62.8484,-7.417338
46,0.5458013,2.6030211,-48.68263
47,9.03735,-61.834312,17.869188
48,-42.76698,6.380535,-50.149776
49,-12.201073,-53.57366,10.41816
50,-14.839471,60.754204,-21.51344
51,-29.186073,31.327547,4.865422
52,-25.59514,32.578007,-5.7418
53,-14.117164,-49.594948,15.872163
54,-17.250252,-38.36538,23.358988
55,-42.185547,42.9776,-3.3503819
56,-43.41939,46.208252,1.7882401
57,-25.967394,45.28458,-46.87846
58,-36.3063,60.155647,-35.45117
59,-0.75263333,-36.111683,16.756485
60,-20.432922,-42.072445,8.7247925
61,-45.925896,59.369377,-18.285208
62,-41.326927,-59.37945,39.51191
63,-25.970211,68.511475,-15.815104
64,-33.511944,53.94612,-16.644112
65,-41.41491,-23.462975,30.293144
66,-32.094254,58.798115,-25.307898
67,-25.913048,74.88231,-7.927616
68,-3.5112119,-53.33242,-0.31534454
69,-2.3742642,-52.220078,4.991567
70,-31.443062,29.835865,-6.890891
71,-38.17887,47.195187,-17.16156
72,-46.727196,61.637386,-30.184471
73,-24.31981,-14.85555,-36.799534
74,2.4413733,50.910156,-62.370728
75,-7.6446733,50.32196,-65.6832
76,-6.179614,48.45957,-63.417534
77,-0.8843449,22.563423,-41.38261
78,-7.977742,66.21524,-25.785206
79,-20.926136,60.220936,-37.339207
80,28.752626,3.7535565,-35.359104
81,-21.470823,49.809124,-16.11183
82,9.840737,8.642096,-14.028322
83,-48.820377,-2.351263,22.765766
84,-18.768524,43.040695,-41.999626
85,-5.877127,29.730526,-7.9024487
86,-21.437254,48.165936,-26.671953
87,-8.897936,-33.839306,13.228242
88,30.329119,0.16630583,-58.0698
89,2.8854938,26.221664,-47.08093
90,23.560999,-12.233268,-51.357944
91,4.0722246,38.412354,-42.61679
92,38.270916,-9.007428,-80.13931
93,3.971433,16.93964,-43.215183
94,-30.418562,48.653572,-23.01155
95,-2.660294,39.499336,-63.06965
96,0.2665841,44.974678,-58.490356
97,-20.331522,31.925596,-19.023767
98,-29.11428,41.620552,-28.772251
99,-19.302345,-46.949818,20.718184
100,-26.390488,-17.864706,8.911911
101,-29.250225,42.52305,-18.345106
102,-25.063076,55.250755,-30.451868
103,-1.9524264,-57.56802,10.908101
104,-11.580906,25.780565,-3.976429
105,-25.025257,-44.047676,15.635725
106,-25.648258,-33.521717,22.640783
107,-52.380302,-6.927535,40.921364
108,-35.133804,46.238834,0.02781945
109,-18.374002,57.503704,-6.255094
110,-15.486905,29.979988,-16.430618
111,1.8012244,-29.28806,-14.603141
112,-47.124924,-24.858917,56.25188
113,-12.3827715,0.36563691,-22.604105
114,-25.118395,58.986958,-15.445142
115,-36.094658,42.15128,-35.038597
116,-38.670944,51.0343,-23.445772
117,-25.574408,54.487465,-20.940624
118,-46.833195,36.223618,-23.719683
119,-35.476837,54.13322,-31.491137
120,-4.073722,40.759613,-53.568504
121,-30.540928,49.83262,-32.421886
122,-4.103686,-48.177937,12.426261
123,-46.78403,36.913692,7.1160493
124,-49.506115,-1.6347419,36.671455
125,-30.042088,40.674973,-6.963431
126,-62.879204,-5.720914,32.695248
127,-26.144636,-18.57113,15.4804945
128,-44.567654,-6.9021893,20.30213
129,-47.587788,-11.156943,47.425137
130,45.970985,16.344042,19.515026
131,-42.6682,-5.1575108,13.500072
132,-24.537182,45.945717,-39.755524
133,38.25261,-10.644181,17.80843
134,32.353172,-72.04458,-9.326677
135,10.212486,24.40372,-64.43918
136,-2.7769325,-38.063206,38.05161
137,-6.804807,2.3459003,-50.771965
138,0.41968927,37.946064,-37.989464
139,-21.029343,-28.3341,16.503443
140,-19.169424,-21.732695,18.016726
141,7.078029,21.806211,-14.070112
142,12.325677,0.15700151,-45.718983
143,-52.259537,-14.507243,33.939644
144,2.3276248,-9.567419,-27.179525
145,1.2337056,-3.430968,-35.30942
146,19.281412,-10.68245,-45.131126
147,-30.429573,42.17285,-42.855206
148,3.7999492,-4.982591,-40.424267
149,46.011757,13.807064,14.422417
150,-58.010174,-2.3560479,24.46197
151,-22.554398,59.138416,-23.69376
152,-44.044456,-9.3228445,31.050116
153,-8.406331,-41.637104,14.842608
154,3.9586828,14.278167,-14.507453
155,-50.85769,5.4401298,26.886414
156,-63.109028,4.8869014,26.9084
157,-10.131114,22.870575,-9.987999
158,-70.286385,13.970343,11.358426
159,-65.88264,13.576907,17.32832
160,-22.70663,4.865109,20.003925
161,-17.04454,-40.326534,17.499212
162,-53.06698,0.84522283,32.999462
163,-29.381182,51.01654,-9.964113
164,-43.601048,-0.16784155,26.120255
165,-45.065094,-4.834201,43.11789
166,-39.350307,-14.229636,24.944077
167,-35.652725,37.569073,-8.2907
168,5.062042,34.52858,-59.852432
169,-22.721191,4.9082527,5.1823616
170,-55.562355,-36.42499,-13.122803
171,-46.735264,-14.028438,38.107475
172,-42.967598,-16.629105,29.656437
173,-21.487724,-21.767225,11.824308
174,-35.162033,-46.11337,27.508234
175,-66.018585,6.2482924,56.176285
176,17.36842,6.586002,-77.2744
177,-18.706766,39.250065,14.891631
178,22.202587,-58.73004,3.2148702
179,9.316287,-63.958572,5.445579
180,-9.607625,11.059195,-15.483125
181,-35.909206,-20.710644,-60.65626
182,-12.204837,-45.827145,-11.756998
183,-30.86439,-26.419634,-39.502388
184,45.00602,-46.28834,1.5208694
